rank,title,media
1,"네, 결국 택시비만 올랐습니다",조선일보
2,무선 이어폰이 ‘암’ 유발한다고? 전자파 정말 괜찮을까,동아일보
3,최태원 놀라게 한 이재용의 '초격차 반도체',조선비즈
4,"애플, '에어팟 2세대' 발표",블로터
5,LG G8 '조용한' 출시…갤S10 인기·5G폰 기대에 존재감 잃어,연합뉴스
6,최태원의 신약 개발 '집념'…26년 만에 美 뚫다,한국경제
7,"LG전자 G8 조용한 출시…""가격도 깎았는데""",아시아경제
8,"&apos아이패드 공개&apos 애플, 25일엔 어떤 제품 내놓을까",ZDNet Korea
9,"소행성 가보니… 한 곳은 ‘축축’, 다른 곳은 ‘바짝’",동아일보
10,"10명 중 9명 사망 '췌장암', 말라리아 치료제로 잡는다",중앙일보
11,“100만 원 갤럭시S10 반값에”…‘호갱’ 안 되려면?,KBS
12,'지열발전이 포항지진 촉발'…CO₂해저저장연구에도 '불똥',연합뉴스
13,"[이슈+] ""혁신없는 가격인상""…에어팟2, 애플 충성고객마저 떠난다",한국경제
14,"""당연한 서비스에 왜 돈 더 내나?""…웨이고블루 택시 '숙제 가득'",이데일리
15,[주간팩첵] 무선이어폰 쓰면 암 걸리나요?(a.k.a 오보 소동),연합뉴스
16,"카톡 PC버전 업데이트 ""달라진 화면에 반응도 천차만별""",머니S
17,"우리 은하 중심에 128억년 된 ""우주 화석"" 성단 존재",연합뉴스
18,"[글로벌포스트] 암호화폐 시장 지배력, 비트코인↓ 알트코인↑",파이낸셜뉴스
19,"[아하! 우주] 소행성 베누, 알고보니 자전속도 점점 빨라진다…이유…",서울신문
20,한국어 지원하는 미승인 성인게임물 범람,전자신문
21,"넥슨, ‘크아M’ 불안한 출발…점검 반복",디지털데일리
22,"[리뷰] 가전업계 무서운 신인, 발뮤다의 새 공기청정기 '더 퓨어'",동아일보
23,&apos한국 모텔 몰카 생중계&apos 사건 외신 앞다퉈 보도,ZDNet Korea
24,"[종목썰쩐]삼성바이오, 주총 앞두고 악재…바이오젠 치매약 개발 중…",한국경제
25,[주총현장]네이버 근속직원 스톡옵션 83.7만주 받는다,뉴스1
26,"서울~런던 30분 만에 도착…장거리 로켓 여행, 2030년 내 가능",서울신문
27,"'갤럭시 폴드' 실사용 영상 등장, 후기 어떤가 보니...",머니투데이
28,"11번가, SBS 슈퍼콘서트 티켓 선착순 배포",ZDNet Korea
29, 5G 요금제 기사 보다가 “한국 기자들 수학공부 좀 더해야 한다” 말…,한겨레
30,"구광모 LG 회장 ""고객 가치 높이고 깨닫는 게 혁신""",ZDNet Korea
